Epoch,Recall,Precision,F1-score,NDCG,MAE,Loss
1,0.10925391762987353,0.09723358057563171,0.09295144309103207,0.08413933123711294,5.8655857740585775,4.910832405090332
2,0.11734277724326375,0.09795917413595258,0.09709939517838087,0.0871751200087236,5.742154811715481,4.6568922996521
3,0.12780219637893672,0.11320364364182096,0.11146596837701558,0.0987137221384435,4.8551255230125525,3.865212917327881
4,0.13354585947870043,0.12709711431652126,0.12149299542096242,0.10598252630484715,4.535041841004184,3.7060463428497314
5,0.13506318846016943,0.13382178489572155,0.1253821001389093,0.10790462735124619,4.514644351464435,3.7176380157470703
6,0.14622005663247994,0.13626840938420812,0.13183424521331355,0.11261995488419256,4.560146443514644,3.6777491569519043
7,0.14776220594209943,0.14231587460631334,0.1355884838524073,0.11519025750731013,4.5177824267782425,3.6753435134887695
8,0.1598038137090191,0.14426308667900012,0.1418713875686139,0.11928198056950168,4.629707112970712,3.677065849304199
9,0.1565691407231418,0.1502285978902218,0.14349722315006513,0.12062493207081217,4.499476987447698,3.6573801040649414
10,0.15652059673510568,0.15405754391620072,0.14534436072818965,0.12205164201136788,4.48744769874477,3.6672251224517822
11,0.15833553430562666,0.15641143234091304,0.14707654523315405,0.12335636260019124,4.477510460251046,3.667847156524658
12,0.15878332375602836,0.15718089296109125,0.14781033580128958,0.1248670216390637,4.460251046025105,3.656224489212036
13,0.16813504473133942,0.15055274226087265,0.14888770094047518,0.12814282356940646,4.591004184100418,3.6451263427734375
14,0.16748646414608281,0.1539373707281276,0.15031055163465606,0.12982420052623836,4.543933054393306,3.627413511276245
15,0.16617427686703337,0.15318994887529502,0.14941406402049942,0.13120949889969657,4.529811715481172,3.6173644065856934
