Epoch,Recall,Precision,F1-score,NDCG,MAE,Loss
1,0.03020368272345905,0.026228573219381303,0.026104858730973644,0.025146559770989296,3.9483082706766917,29.590112686157227
2,0.02421866220631506,0.022642765546900874,0.021741250560701652,0.02276221251892472,3.8157894736842106,29.96514129638672
3,0.026900831213989947,0.023189523248263837,0.0232566396238618,0.026438050574265924,3.8768796992481205,29.450759887695312
4,0.03611203784871888,0.029392639002601396,0.030156715567339093,0.032532296255511,3.9915413533834587,29.01959991455078
5,0.04560251888205593,0.03487377092862091,0.03679818735402411,0.03812409934405714,4.265037593984962,28.864185333251953
6,0.05927426118255071,0.050117754704759286,0.05063710103721713,0.046391877799147836,3.9398496240601504,28.043493270874023
7,0.05802184227058686,0.04925134034707876,0.049650211895700916,0.046220288394873306,3.9342105263157894,27.59716796875
8,0.0593991333676772,0.04918071086355007,0.05024184212194745,0.04617516071924282,4.007518796992481,27.69817352294922
9,0.057846611826904565,0.052682582893910916,0.051639011967857064,0.04743150584627279,3.8035714285714284,28.36651611328125
10,0.055745000044004456,0.05019828210035742,0.04946941645929356,0.046116628994836116,3.856203007518797,28.404022216796875
11,0.060389522662708126,0.04879373248275875,0.05050715593680754,0.04615162737594035,4.054511278195489,28.835662841796875
12,0.06218267288758948,0.04975364388260276,0.05165662308960195,0.04659303579097824,4.045112781954887,27.83423614501953
13,0.06243018700348572,0.04562890096003805,0.04940138536745108,0.04511329266802877,4.264097744360902,28.360410690307617
14,0.05751782515610648,0.04764229867944321,0.04880136288469956,0.04548534920222049,4.008458646616542,28.595699310302734
15,0.057047794559727284,0.05003255632508146,0.04990744675521642,0.046250586957264604,3.8580827067669174,27.6055965423584
16,0.061284028512366806,0.04892426665214392,0.05105403996025259,0.04643591658537857,4.011278195488722,27.691030502319336
17,0.06114940106271786,0.05024090473461544,0.051747894592434764,0.047132788493851184,3.949248120300752,27.570526123046875
18,0.056160068506404356,0.051781429831358354,0.0504702442836957,0.0466453921753577,3.797932330827068,27.812192916870117
19,0.05734546141241764,0.05128063997683875,0.05082318752796701,0.04667635990789902,3.816729323308271,27.74327278137207
20,0.06094957739825474,0.04900945672414498,0.050779983649261236,0.04668931734898737,4.034774436090226,27.566120147705078
21,0.06392915165363133,0.046209629650563765,0.04989328600199292,0.04491023550027127,4.416353383458647,29.237356185913086
22,0.06421825006625599,0.046109323313073144,0.05015253644142258,0.044886617145774174,4.455827067669173,29.45189666748047
23,0.05878626297752192,0.04926700309675914,0.04948419812486991,0.04543786317187088,4.143796992481203,28.267114639282227
24,0.057201703691382985,0.04671856211996207,0.047526054950052736,0.04394346992292659,4.2218045112781954,28.478412628173828
25,0.05831062778026936,0.04752056663515857,0.04852926157995146,0.04527462497301036,4.275375939849624,29.467548370361328
