Epoch,Recall,Precision,F1-score,NDCG,MAE,Loss
1,0.1875991175455632,0.19108291666747096,0.18043854934274806,0.1457448609637043,4.029320987654321,3.6180145740509033
2,0.20539651857809835,0.17557436896824768,0.1800687695120412,0.1471341559835882,4.262345679012346,3.475299119949341
3,0.18758900651202198,0.16941856153482818,0.16979553941254444,0.14120907373889255,4.294238683127572,3.451737403869629
4,0.1909076314574276,0.1858205367875703,0.17968947492653034,0.1503059285517529,3.9902263374485596,2.970322847366333
5,0.20918898828584626,0.1765620068271424,0.1822218291935278,0.16676721420453347,4.290637860082304,2.8762545585632324
6,0.2094318462531283,0.18161840783927125,0.18569726459028094,0.17061337337200624,4.161522633744856,2.780850410461426
7,0.21033745664572803,0.18550087494313844,0.18818766645239998,0.1731567924603659,4.113683127572016,2.7444424629211426
8,0.20700515266087519,0.1887381208495488,0.1877676075405694,0.17143316942730866,4.1193415637860085,2.825495958328247
9,0.20645306149446593,0.1920168541861338,0.1902984942301677,0.17516634903691033,3.977880658436214,2.6835014820098877
10,0.20195738211229766,0.1991413703063526,0.1911724783710096,0.17575602708940122,4.019547325102881,2.7130160331726074
11,0.20758813073423102,0.1899403844717589,0.1890028959034751,0.17297182654590182,4.078189300411522,2.802133083343506
12,0.20908474123397933,0.18645539362289146,0.18724701233975447,0.17046699230415446,4.219650205761317,2.887197494506836
13,0.205789404707765,0.18898135202448624,0.18801003625733126,0.17258416166061483,4.042181069958848,2.7497639656066895
14,0.20665677054797602,0.1911832322145331,0.1901973681752874,0.17538736778246278,3.9650205761316872,2.648311138153076
15,0.21060108422035584,0.18165014564285145,0.18472868981813192,0.16712284863039223,4.328189300411522,2.9476168155670166
